               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.068194,             0.18751,            0.018875,             0.53089,             0.46552,             0.46414,             0.26634,              0.0675,             0.28333,             0.02397,            0.002872,            0.002872,            0.002872
                  38,             0.06806,             0.18594,            0.019002,             0.56164,             0.44168,              0.4604,             0.26853,            0.067375,             0.28285,            0.023957,            0.002674,            0.002674,            0.002674
                  39,            0.067752,             0.18384,            0.018906,             0.54889,             0.45129,             0.46105,             0.26879,            0.067351,             0.28353,            0.023896,            0.002476,            0.002476,            0.002476
                  40,            0.067667,             0.18589,            0.018678,             0.56744,             0.44476,              0.4638,             0.26891,            0.067287,              0.2832,            0.023862,            0.002278,            0.002278,            0.002278
                  41,            0.067715,             0.18629,            0.018787,             0.57771,             0.43903,             0.46474,             0.27064,            0.067225,             0.28306,            0.023802,             0.00208,             0.00208,             0.00208
                  42,            0.067894,             0.18631,            0.018649,             0.53198,             0.46944,             0.46624,             0.27149,            0.067234,             0.28362,             0.02384,            0.001882,            0.001882,            0.001882
                  43,            0.067511,             0.18474,            0.018533,             0.55461,             0.45282,             0.46724,             0.27197,            0.067173,             0.28366,            0.023777,            0.001684,            0.001684,            0.001684
                  44,            0.067245,              0.1832,            0.018541,             0.53473,             0.47126,             0.46719,             0.27306,            0.067166,             0.28363,            0.023719,            0.001486,            0.001486,            0.001486
                  45,            0.067544,             0.18337,             0.01848,             0.56883,              0.4511,             0.46485,             0.27292,            0.067122,              0.2835,            0.023764,            0.001288,            0.001288,            0.001288
                  46,            0.067671,             0.18471,            0.018532,              0.5584,             0.45178,             0.46866,             0.27461,            0.067132,             0.28399,            0.023727,             0.00109,             0.00109,             0.00109
                  47,            0.067148,             0.18274,             0.01832,             0.55433,             0.45886,             0.46895,             0.27445,            0.067107,             0.28414,            0.023733,            0.000892,            0.000892,            0.000892
                  48,            0.066927,             0.18243,            0.018265,              0.5474,               0.462,             0.46994,             0.27524,            0.067073,             0.28381,            0.023755,            0.000694,            0.000694,            0.000694
                  49,            0.067102,             0.18082,             0.01803,              0.5864,             0.43954,             0.47116,             0.27608,            0.067054,             0.28465,            0.023689,            0.000496,            0.000496,            0.000496
